Date_MMDDYYYY,Real GDP growth,Real disposable income growth,Unemployment rate,CPI inflation rate,Fed Disc Rate,China Disc Rate,Prev 3-month Treasury rate,Prev 6-month Treasury rate,Prev 1-year Treasury yield,Prev 2-year Treasury yield,Prev 3-year Treasury yield,Prev 5-year Treasury yield,Prev 10-year Treasury yield,3-month Treasury rate,6-month Treasury rate,1-year Treasury yield,2-year Treasury yield,3-year Treasury yield,5-year Treasury yield,10-year Treasury yield
3/31/1993,4.4,3.1,5.3,7.1,8.26,9,7.83,7.89,7.85,7.94,7.96,7.92,7.99,8.07,8.24,8.35,8.64,8.69,8.65,8.65
6/30/1990,1.5,2.8,5.3,4,8.15,9,8.07,8.24,8.35,8.64,8.69,8.65,8.65,8,8.02,8.05,8.24,8.32,8.35,8.43
9/30/1990,0.3,-0.1,5.7,7.1,8.11,7.92,8,8.02,8.05,8.24,8.32,8.35,8.43,7.37,7.53,7.63,7.94,8.12,8.38,8.71
12/31/1990,-3.6,-3.4,6.1,7,6.91,7.92,7.37,7.53,7.63,7.94,8.12,8.38,8.71,6.63,6.73,6.82,7.15,7.4,7.68,8.08
3/31/1991,-1.9,1,6.6,3,5.91,7.2,6.63,6.73,6.82,7.15,7.4,7.68,8.08,5.94,6.04,6.27,7.01,7.3,7.74,8.07
6/30/1991,3.2,2.9,6.8,2.4,5.82,7.2,5.94,6.04,6.27,7.01,7.3,7.74,8.07,5.76,5.99,6.38,6.97,7.39,7.93,8.26
9/30/1991,2,1.6,6.9,3.1,5.21,7.2,5.76,5.99,6.38,6.97,7.39,7.93,8.26,5.26,5.34,5.42,5.99,6.28,6.92,7.47
12/31/1991,1.4,3.4,7.1,3.4,4.03,7.2,5.26,5.34,5.42,5.99,6.28,6.92,7.47,3.96,4,4.12,4.77,5.11,5.93,6.71
3/31/1992,4.9,8.3,7.4,2.7,3.73,7.2,3.96,4,4.12,4.77,5.11,5.93,6.71,4.15,4.32,4.54,5.6,6.17,6.94,7.54
6/30/1992,4.4,4,7.6,3.1,3.25,7.2,4.15,4.32,4.54,5.6,6.17,6.94,7.54,3.65,3.77,4.05,4.83,5.39,6.29,7.14
9/30/1992,4,1.9,7.6,3.1,3.1,7.2,3.65,3.77,4.05,4.83,5.39,6.29,7.14,2.75,2.92,3.06,3.8,4.34,5.33,6.37
12/31/1992,4.2,1.8,7.4,3.6,3.02,7.2,2.75,2.92,3.06,3.8,4.34,5.33,6.37,3.15,3.38,3.61,4.56,5.12,6.04,6.7
3/31/1993,0.7,1.5,7.1,2.9,2.96,7.2,3.15,3.38,3.61,4.56,5.12,6.04,6.7,2.95,3.09,3.32,3.96,4.42,5.24,6.03
6/30/1993,2.4,1.2,7.1,2.9,3.06,10.08,2.95,3.09,3.32,3.96,4.42,5.24,6.03,3.1,3.22,3.45,4.03,4.39,5.05,5.8
9/30/1993,1.9,0.3,6.8,1.9,2.99,10.08,3.1,3.22,3.45,4.03,4.39,5.05,5.8,2.98,3.13,3.39,3.89,4.24,4.79,5.4
12/31/1993,5.6,2.8,6.6,3.4,3.05,10.08,2.98,3.13,3.39,3.89,4.24,4.79,5.4,3.07,3.3,3.63,4.25,4.58,5.21,5.83
3/31/1994,3.9,2.7,6.6,2,3.56,10.08,3.07,3.3,3.63,4.25,4.58,5.21,5.83,3.56,3.92,4.5,5.21,5.66,6.23,6.77
6/30/1994,5.5,4.1,6.2,2.3,4.26,10.08,3.56,3.92,4.5,5.21,5.66,6.23,6.77,4.26,4.83,5.51,6.19,6.52,6.97,7.34
9/30/1994,2.4,2.4,6,3.8,4.76,10.08,4.26,4.83,5.51,6.19,6.52,6.97,7.34,4.8,5.43,5.96,6.62,6.92,7.28,7.62
12/31/1994,4.7,5.9,5.6,2.3,5.53,10.26,4.8,5.43,5.96,6.62,6.92,7.28,7.62,5.68,6.51,7.2,7.69,7.8,7.83,7.84
3/31/1995,1.4,3.5,5.5,3,6.05,10.26,5.68,6.51,7.2,7.69,7.8,7.83,7.84,5.88,6.13,6.49,6.8,6.92,7.08,7.2
6/30/1995,1.2,1.1,5.7,3.3,5.85,10.44,5.88,6.13,6.49,6.8,6.92,7.08,7.2,5.6,5.59,5.65,5.79,5.88,5.98,6.21
9/30/1995,3.4,3.7,5.7,2,5.76,10.44,5.6,5.59,5.65,5.79,5.88,5.98,6.21,5.4,5.57,5.65,5.83,5.91,6.01,6.17
12/31/1995,2.7,2.4,5.6,2.2,5.56,10.44,5.4,5.57,5.65,5.83,5.91,6.01,6.17,5.2,5.25,5.17,5.18,5.26,5.39,5.6
3/31/1996,3,3.8,5.5,3.6,5.22,10.44,5.2,5.25,5.17,5.18,5.26,5.39,5.6,5.2,5.26,5.41,5.79,5.91,6.09,6.31
6/30/1996,6.8,3.7,5.5,3.5,5.4,9,5.2,5.26,5.41,5.79,5.91,6.09,6.31,5.27,5.43,5.74,6.15,6.33,6.49,6.74
9/30/1996,3.6,3.3,5.3,2.3,5.24,9,5.27,5.43,5.74,6.15,6.33,6.49,6.74,5.14,5.37,5.71,6.1,6.28,6.46,6.72
12/31/1996,4.2,2.2,5.3,3.5,5.25,9,5.14,5.37,5.71,6.1,6.28,6.46,6.72,5.21,5.33,5.51,5.88,6.04,6.21,6.43
3/31/1997,2.6,3.9,5.2,2.5,5.51,9,5.21,5.33,5.51,5.88,6.04,6.21,6.43,5.35,5.55,6.02,6.45,6.6,6.77,6.92
6/30/1997,6.8,3.6,5,0.9,5.52,9,5.35,5.55,6.02,6.45,6.6,6.77,6.92,5.25,5.34,5.67,6.08,6.25,6.4,6.51
